,Year,Historical,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
265,2015,41.48036,28.822636,28.503425,30.40832,34.786838,36.625436,37.074825,38.568569000000004,37.98742,38.30917,38.212342,39.48765,40.494935999999996,41.679297,41.683838,42.015132,41.48036,,,,,,,,,,,,,,
266,2016,41.012741,28.520667,28.20722,30.089990999999998,34.441416,36.266973,36.738076,38.238869,37.694845,38.023077,37.959787,39.281227,40.367715999999994,41.715308,41.874041999999996,42.420535,42.006477000000004,41.012741,,,,,,,,,,,,,
267,2017,41.193001,28.202872999999997,27.896003000000004,29.749964000000002,34.049563,35.848585,36.334207,37.826235,37.319487,37.649825,37.615613,38.961553,40.101153000000004,41.565501,41.847592,42.559767,42.248805,41.284095,41.193001,,,,,,,,,,,,
268,2018,42.101177,27.870793,27.571218,29.390428000000004,33.616503,35.37738,35.871208,37.340928999999996,36.871340999999994,37.200021,37.190878000000005,38.542719,39.712979,41.254214000000005,41.632943,42.468356,42.244987,41.318031,41.270648,42.101177,,,,,,,,,,,
269,2019,42.332384000000005,27.525876,27.234223999999998,29.013431,33.147071000000004,34.859891999999995,35.356417,36.792327,36.359551,36.683358,36.695687,38.037549,39.219268,40.803384,41.255688,42.178143,42.028754,41.14635,41.134819,42.173553999999996,42.332384000000005,,,,,,,,,,
270,2020,,27.169483000000003,26.886302,28.620891999999998,32.645732,34.302127,34.796561,36.188986,35.792476,36.108691,36.139266,37.457694000000004,38.634568,40.232759,40.738818,41.717624,41.630287,40.797574,40.815073,42.003797,42.39464,42.332384000000005,,,,,,,,,
271,2021,,26.802893,26.528655,28.214607,32.116608,33.709590999999996,34.197804,35.538707,35.177749,35.484091,35.530031,36.813735,37.972034,39.56009,40.102959000000006,41.112265,41.076551,40.297245000000004,40.337874,41.627410999999995,42.194793,42.433516999999995,42.332384000000005,,,,,,,,
272,2022,,26.427311,26.162417,27.796253999999998,31.5635,33.087333,33.565785999999996,34.84859,34.522329,34.816912,34.875644,36.11526,37.243536999999996,38.801307,39.366583,40.384788,40.391603,39.668203000000005,39.726878,41.075967,41.772957,42.242490999999994,42.450028,42.332384000000005,,,,,,,
273,2023,,26.043864000000003,25.788652,27.367401,30.989908000000003,32.439975,32.905662,34.125091,33.832553999999995,34.113843,34.183075,35.370951,36.459779,37.970684999999996,38.546206,39.555428000000006,39.596864000000004,38.930839,39.003199,40.377491,41.164613,41.805813,42.247696999999995,42.338177,42.332384000000005,,,,,,
274,2024,,25.653612,25.408359,26.929512,30.399053000000002,31.771741,32.222134999999994,33.37407,33.114188,33.380959000000004,33.458657,34.588654,35.630390999999996,37.080991,37.656572,38.642175,38.711377,38.103327,38.185645,39.556814,40.401083,41.164386,41.778444,42.026331,42.191203,42.332384000000005,,,,,
275,2025,,25.257548,25.022476,26.483953000000003,29.793896000000004,31.086489,31.519493,32.600837,32.372465000000005,32.623768,32.70813,33.775449,34.764021,36.143619,36.710812,37.660989,37.752034,37.20183,37.290941,38.635894,39.509965,40.354110999999996,41.088658,41.451745,41.742594,42.146097,42.332384000000005,,,,
276,2026,,24.856601,24.631883,26.031994,29.177152000000003,30.387733,30.801637,31.810198,31.612128000000002,31.847258,31.936694,32.937711,33.868424,35.168721000000005,35.720596,36.625993,36.733784,36.240697999999995,36.333931,37.634107,38.515522,39.406426,40.218804999999996,40.662199,41.042153000000006,41.633288,42.127317,42.332384000000005,,,
277,2027,,24.451642,24.237403,25.574822,28.551312,29.678672,30.072111,31.006490000000003,30.837471,31.055938,31.149046000000002,32.081171000000005,32.950534999999995,34.165316,34.696273,35.549659000000005,35.669828,35.232636,35.327751,36.568503,37.439027,38.348795,39.204102,39.699172999999995,40.138037,40.855845,41.565275,42.105548999999996,42.332384000000005,,
278,2028,,24.043485,23.839807999999998,25.113537,27.918653000000003,28.962213000000002,29.334127000000002,30.193621999999998,30.052371,30.253871000000004,30.349422999999998,31.210967999999998,32.016543,33.141396,33.646995000000004,34.442966,34.571789,34.188869,34.284006,35.454052000000004,36.299085,37.205143,38.075111,38.598578,39.071846,39.867012,40.717290999999996,41.486847,42.080123,42.332384000000005,
279,2029,,23.63289,23.439819,24.649161,27.281256,28.240989000000003,28.590593,29.375108,29.260321,29.444714,29.541639,30.331702000000003,31.071956,32.104026,32.580830999999996,33.315549,33.449869,33.119283,33.212913,34.303854,35.111917,35.996248,36.858275,37.391415,37.879407,38.712454,39.64399,40.558347,41.395767,42.050171,42.332384000000005
280,2030,,23.220567000000003,23.038109,24.182646,26.64102,27.517384000000003,27.844134000000004,28.5541,28.464462,28.631752000000002,28.729117,29.447475,30.121664000000003,31.059426000000002,31.504871,32.175837,32.312993,32.032558,32.123439000000005,33.129333,33.891617,34.740096,35.576392,36.104347,36.591469000000004,37.431207,38.396941,39.389476,40.374824,41.289165000000004,42.014553
281,2031,,22.807176000000002,22.635307,23.71487,25.999670000000002,26.793547999999998,27.097113,27.733414,27.667609999999996,27.817921999999996,27.914924,28.561937,29.169989,30.013057,30.425325,31.031171999999998,31.168940999999997,30.936290000000003,31.023431,31.940419,32.650382,33.452192,34.249045,34.760226,35.234322,36.056509999999996,37.01984,38.038742,39.097296,40.161408,41.163312
282,2032,,22.393334,22.232001,23.246647,25.358777,26.071417,26.351654999999997,26.915561999999998,26.872284999999998,27.005848999999998,27.101795000000003,27.678325,28.220743,28.969690000000003,29.347606,29.887921999999996,30.024461,29.837099,29.919725,30.7457,31.398723999999998,32.145848,32.892981,33.378547,33.830348,34.616545,35.54955,36.555239,37.629901000000004,38.759706,39.91127
283,2033,,21.979613,21.828735,22.77873,24.71976,25.352728,25.60966,26.102775,26.080728,26.197865,26.292167,26.799498,27.27727,27.933475,28.276411,28.75158,28.885382,28.740726000000002,28.818248999999998,29.552573,30.145656,30.832432,31.522447999999997,31.975861,32.398503999999996,33.135086,34.017016999999996,34.979953,36.028003999999996,37.160553,38.366887
284,2034,,21.566545,21.426019,22.311813,24.083904999999998,24.639035999999997,24.872826999999997,25.297026000000002,25.294934,25.396039000000002,25.4882,25.927970000000002,26.34249,26.908002000000003,27.215792999999998,27.626859000000003,27.756705,27.652127,27.724117,28.367368,28.898863000000002,29.521597999999997,30.149496000000003,30.566135,30.954756,31.632071999999997,32.448069,33.346906,34.337286,35.426631,36.618364
285,2035,,21.154623,21.024322,21.846534,23.452368,23.931725,24.142665,24.500052,24.516663,24.602195000000002,24.6918,25.065942,25.418941,25.896357000000002,26.169225,26.517771999999997,26.642694,26.575552000000002,26.641718,27.195467999999998,27.664846999999998,28.221488,28.784253000000003,29.16108,29.512458000000002,30.124115000000003,30.864116999999997,31.684148999999998,32.595181,33.608959000000006,34.736943
286,2036,,20.744304,20.624083,21.383482,22.826188000000002,23.232026,23.420509,23.713376,23.747467,23.817934,23.904641,24.215331,24.508814,24.901172,25.139665,25.427708,25.546957,25.51462,25.574785000000002,26.041415,26.449073,26.938910999999997,27.435153999999997,27.770431,28.082691999999998,28.624941999999997,29.282767,30.014621999999996,30.83212,31.748732,32.779703999999995
287,2037,,20.336011,20.225706,20.923196,22.206298,22.541025,22.707538,22.938323,22.988702,23.044657,23.128189000000003,23.377792000000003,23.613982999999998,23.924672,24.129603,24.3595,24.472514,24.472388,24.526474,24.909003,25.256082,25.679508,26.109161,26.402206,26.674564,27.145789,27.718358000000002,28.356909,29.0726,29.878889,30.791943
288,2038,,19.930132,19.829567,20.466169,21.593524,21.859676999999998,22.004783,22.17604,22.241548,22.283573999999998,22.363713,22.554747,22.736041,22.968717,23.141115,23.315488000000002,23.421864000000003,23.451407999999997,23.499419,23.801366,24.089606,24.447895000000003,24.811948,25.062928,25.295466,25.695739,26.182428,26.72588,27.336111,28.025454999999997,28.809176
289,2039,,19.527028,19.436009,20.012851,20.988603,21.188814999999998,21.31314,21.427507000000002,21.507025,21.535729999999997,21.612308,21.747403,21.876326000000002,22.034842,22.175907000000002,22.297573,22.397045000000002,22.453788,22.495795,22.721056,22.952667,23.247791,23.548072,23.757825,23.951313,24.282029,24.684123,25.133259,25.637923,26.208686,26.858831
290,2040,,19.127027,19.045351,19.563653,20.392184,20.529161,20.633385999999998,20.69356,20.786004000000002,20.802014,20.874909,20.956775,21.035943,21.124289,21.235356,21.307265,21.399684,21.481236,21.517367,21.670108,21.847658,22.082135,22.321115,22.491001999999998,22.646741,22.910312,23.230552,23.588108,23.989770999999998,24.44404,24.961685
291,2041,,18.730431,18.657885,19.118947,19.804835,19.881337,19.966181,19.974895,20.079223000000002,20.083176,20.152305,20.183704000000002,20.215792,20.238039999999998,20.320545000000003,20.345735,20.431048999999998,20.53511,20.565535999999998,20.650107000000002,20.776429,20.953186,21.133820999999998,21.2656,21.385289999999998,21.584885,21.827092999999998,22.097248999999998,22.400431,22.743005,23.133059
292,2042,,18.337518,18.273878,18.679071,19.227052,19.245867999999998,19.312087,19.272085999999998,19.387297,19.379835,19.445152,19.428871,19.416588,19.376848000000003,19.432298,19.413849,19.492088,19.616454,19.641382999999998,19.66224,19.740353,19.862610999999998,19.988211,20.08393,20.169565,20.308896,20.477665,20.665625,20.876228,21.113798000000003,21.383829000000002
293,2043,,17.948538,17.893575,18.244328,18.659262,18.623197,18.671569,18.585598,18.710731,18.6925,18.753985999999998,18.692818,18.638879,18.54126,18.571208,18.512207,18.583469,18.726041,18.745708999999998,18.707348,18.740389999999998,18.811573000000003,18.885684,18.947594,19.001366,19.084515,19.184959,19.296611,19.421453,19.561962,19.721277
294,2044,,17.563722,17.517198999999998,17.814989999999998,18.101829000000002,18.013686,18.04501,17.915792,18.049929000000002,18.02157,18.079235999999998,17.975957,17.883066,17.731641,17.737669,17.64118,17.705617999999998,17.8644,17.879063000000002,17.785972,17.777141,17.800794,17.827106,17.857588,17.881817,17.91309,17.950638,17.992282,18.038729,18.090861999999998,18.149791
295,2045,,17.183275,17.144951000000002,17.391301000000002,17.55506,17.417629,17.432710999999998,17.26294,17.405204,17.367353,17.421231,17.278589,17.149416,16.9482,16.931895,16.800933999999998,16.858745000000003,17.031848999999998,17.041779000000002,16.898392,16.8509,16.830623000000003,16.812894,16.814397,16.811472,16.795281,16.775513,16.753644,16.729322,16.702109,16.671457999999998
296,2046,,16.807385999999997,16.777014,16.973477,17.01921,16.835252,16.834906,16.627231,16.776787,16.730071,16.780213,16.60091,16.438082,16.191001,16.153945,15.99146,16.042876,16.228523000000003,16.234,16.044659,15.961695,15.901091000000001,15.843082,15.818079000000001,15.7904,15.731175,15.659688000000001,15.580829000000001,15.493397,15.395916,15.286553
297,2047,,16.436221,16.413553,16.561708,16.494482,16.266724,16.251765,16.008782,16.164835,16.109868,16.156344,15.943026000000001,15.749111,15.459989000000002,15.403744,15.212596,15.257879,15.454396,15.455707,15.224634,15.109331,15.011957999999998,14.917384,14.868326999999999,14.818275,14.720382999999998,14.602695,14.473260999999999,14.330242000000002,14.171391,13.993942
298,2048,,16.06993,16.054716,16.15616,15.981038,15.71216,15.683397,15.407642000000001,15.56944,15.506820999999999,15.549713,15.304960999999999,15.082460000000001,14.755002,14.681099,14.464051000000001,14.503480999999999,14.709303,14.706737,14.438011,14.293420000000001,14.162759,14.035247,13.964539000000002,13.89444,13.762134,13.603598999999999,13.429803,13.238454999999998,13.026785,12.791421000000001
